S070444:2,7,21.5,226.0,60.8698846487,7.8,1.05090687851e-15,0.0,0.0,0.5,1.28571428571,0.0,9.57142857143,0.139757,0.170638,0.310976,0.340385,0.288294,0.302782
S026409:2,7,188.0,201.857142857,45.7678257901,6.5,0,0.0,0.0,0.0,1.57142857143,3.5,11.2857142857,0.217339,0.123106,0.33663,0.224547,0.319502,0.197413
S061996:2,8,337.0,305.0,53.5093449782,5.12589115852,3.73103654912,3237.0,1766.25,0.5,3.125,9.5,19.0,0.224488,0.449272,0.596206,0.4242,0.473062,0.421451
S062379:2,7,111.5,212.142857143,38.1479397363,6.44128470652,0.0429225367246,8648.5,16731.8571429,1.0,1.85714285714,8.0,10.5714285714,0.245738,0.125869,0.617376,0.279628,0.345976,0.257256
S057382:2,8,127.5,189.75,53.4011938069,0.0,0.0,0.0,553.625,0.0,0.75,1.5,9.875,0.276653,0.136178,0.494343,0.226705,0.44328,0.189356
S059642:2,8,118.5,185.875,26.6572574546,0.0,0.0,0.0,3457.75,0.5,1.125,3.5,12.25,0.181584,0.143189,0.315635,0.235461,0.259512,0.187483
S031642:1,5,2.0,23.8,9.17387595294,6.5,0,0.0,0.0,0.0,0.0,0.0,0.6,0.012151,0.015766,0.132938,0.15799,0.132938,0.155532
S037398:1,3,15.0,19.6666666667,11.8977121984,7.1749331937,1.85690685702,0.0,0.0,0.0,0.333333333333,1.0,1.33333333333,0.048234,0.029444,0.279857,0.116646,0.156193,0.048668
S029328:2,8,180.5,219.5,71.503496418,6.42546025008,0.0760657702528,0.0,956.125,0.5,1.375,1.5,13.375,0.155287,0.234092,0.578264,0.328235,0.317248,0.287606
S014566:2,7,251.5,196.285714286,36.6048954014,8.08224206189,0.0320602113101,90.5,127.142857143,1.0,1.85714285714,14.0,14.4285714286,0.486352,0.289577,0.638647,0.335457,0.403573,0.315173
S066648:2,8,255.0,242.625,64.3349389912,8.33824348694,0.040684129363,0.0,0.0,1.0,1.375,7.0,22.0,0.253394,0.204617,0.43144,0.274912,0.2508,0.238084
S062132:1,6,13.0,10.8333333333,16.0874347102,6.5,0,0.0,0.0,0.0,0.0,0.0,0.5,0.054158,0.08174,0.147741,0.1098,0.106216,0.079937
S065263:3,8,196.333333333,245.375,72.3480087839,6.5,0,7053.66666667,6523.25,1.66666666667,2.25,2.33333333333,11.875,0.6084,0.88127,0.775992,1.342547,0.684896,1.211096
